Clock type: CPU
Ordered by: ttot, desc

name                                  ncall  tsub      ttot      tavg
..hread.wait_result_broken_or_wakeup  30006  0.324130  10.18609  0.000339
..4 _UnixSelectorEventLoop._run_once  31264  0.431727  8.914707  0.000285
..0/asyncio/events.py:78 Handle._run  88005  0.168881  7.788735  0.000089
..iprocessing/connection.py:922 wait  80492  0.869528  6.733450  0.000084
..ctors.py:352 PollSelector.register  281..  0.868881  3.862252  0.000014
../process.py:81 _ThreadWakeup.clear  30006  0.099157  3.246495  0.000108
..verConnection._server_request_loop  15     0.211581  3.129083  0.208606
..:180 HTTP1Connection._read_message  1039   0.038352  2.889755  0.002781
..ctors.py:235 PollSelector.register  281..  0.861071  2.790749  0.000010
../connection.py:258 Connection.poll  50486  0.170809  2.687611  0.000053
..connection.py:428 Connection._poll  50486  0.111351  2.441217  0.000048
..:1660 DataReceiverHandler._execute  1024   0.034567  2.244248  0.002192
..xSelectorEventLoop.run_in_executor  20480  0.094243  2.168846  0.000106
..9 HTTP1Connection._read_fixed_body  1024   0.095468  2.114105  0.002065
..app.py:86 DataReceiverHandler.post  1024   0.072124  1.828935  0.001786
../connection.py:251 Connection.recv  20480  0.126148  1.643780  0.000080
..nagerThread.add_call_item_to_queue  30008  0.232290  1.490964  0.000050
..tiprocessing/reduction.py:48 dumps  20480  0.169397  1.347117  0.000066
..y:216 PollSelector._fileobj_lookup  281..  0.388231  1.332592  0.000005
..ction.py:186 Connection.send_bytes  40960  0.255782  1.309106  0.000032
../asyncio/futures.py:379 _set_state  20480  0.052821  1.301980  0.000064
...py:712 ProcessPoolExecutor.submit  20480  0.186482  1.206592  0.000059
../futures.py:343 _copy_future_state  20480  0.142818  1.200302  0.000059
..262 _RoutingDelegate.data_received  9216   0.017204  1.182016  0.000128
..taReceiverHandler.submit_load_json  10240  0.030143  1.171047  0.000114
..rManagerThread.process_result_item  20480  0.081213  1.168653  0.000057
..277 _HandlerDelegate.data_received  9216   0.018491  1.164811  0.000126
.. DataReceiverHandler.data_received  9216   0.057316  1.146320  0.000124
..res/_base.py:539 Future.set_result  20480  0.121736  1.053399  0.000051
..tion.py:395 Connection._send_bytes  40960  0.181667  0.958311  0.000023
...10/selectors.py:21 _fileobj_to_fd  285..  0.520427  0.953358  0.000003
..lectors.py:403 PollSelector.select  80492  0.365377  0.940084  0.000012
..tion.py:418 Connection._recv_bytes  40960  0.196487  0.889031  0.000022
..asyncio/futures.py:407 wrap_future  20480  0.099461  0.853643  0.000042
..ostream.py:404 IOStream.read_bytes  9216   0.037235  0.798373  0.000087
..se.py:339 Future._invoke_callbacks  20480  0.043778  0.714256  0.000035
..connection.py:370 Connection._send  50176  0.142897  0.709035  0.000014
..m.py:829 IOStream._try_inline_read  10256  0.046135  0.695381  0.000068
..cio/futures.py:392 _call_set_state  20480  0.083927  0.670479  0.000033
..connection.py:379 Connection._recv  81920  0.279721  0.623353  0.000008
..yncio/futures.py:363 _chain_future  20480  0.174901  0.615754  0.000030
<string>:1 <lambda>                   284..  0.393016  0.605482  0.000002
../python3.10/queue.py:154 Queue.get  38181  0.197369  0.577866  0.000015
..reading.py:264 Condition.__enter__  242..  0.369987  0.560544  0.000002
..ctorEventLoop.call_soon_threadsafe  20481  0.079358  0.559105  0.000027
..ctors.py:348 PollSelector.__init__  80494  0.251905  0.543292  0.000007
..hreading.py:267 Condition.__exit__  242..  0.373098  0.527773  0.000002
../futures/process.py:379 <listcomp>  30008  0.170094  0.524456  0.000017
.. _UnixSelectorEventLoop._call_soon  76896  0.222332  0.522410  0.000007
..3 _UnixSelectorEventLoop.call_soon  56415  0.141633  0.521863  0.000009
..process.py:77 _ThreadWakeup.wakeup  20480  0.040664  0.467535  0.000023
..ction.py:213 Connection.recv_bytes  20480  0.089211  0.459727  0.000022
../threading.py:359 Condition.notify  102..  0.212710  0.449271  0.000004
..:735 IOStream._read_to_buffer_loop  9244   0.040755  0.422203  0.000046
..ectors.py:452 EpollSelector.select  31265  0.172631  0.408972  0.000013
..essing/queues.py:86 _SafeQueue.put  20480  0.124990  0.381121  0.000019
..10/threading.py:288 Condition.wait  9746   0.086499  0.363276  0.000037
..py:1108 DataReceiverHandler.finish  1024   0.015050  0.358573  0.000350
..ctors.py:203 PollSelector.__exit__  80492  0.129262  0.356427  0.000004
..rocess.py:247 ForkProcess.sentinel  170..  0.244575  0.354362  0.000002
..am.py:851 IOStream._read_to_buffer  9244   0.127500  0.348378  0.000038
..syncio/base_futures.py:14 isfuture  145..  0.215727  0.341315  0.000002
../python3.10/queue.py:122 Queue.put  20480  0.110123  0.338837  0.000017
..threading.py:475 Semaphore.release  20480  0.111111  0.298655  0.000015
..ixSelectorEventLoop._write_to_self  20481  0.042500  0.285295  0.000014
.. _RoutingDelegate.headers_received  1025   0.007858  0.271824  0.000265
..yncio/events.py:31 Handle.__init__  78962  0.192833  0.262855  0.000003
..onnection.py:173 Connection.fileno  110..  0.169964  0.252390  0.000002
..syncio/tasks.py:558 _on_completion  10240  0.027645  0.234943  0.000023
..asyncio/tasks.py:566 _wait_for_one  10240  0.039177  0.233834  0.000023
...py:1058 DataReceiverHandler.flush  1024   0.008184  0.232424  0.000227
..ctors.py:210 PollSelector.__init__  80494  0.166004  0.231230  0.000003
..xSelectorEventLoop._read_from_self  10081  0.058203  0.228286  0.000023
..electors.py:269 PollSelector.close  80492  0.153634  0.227164  0.000003
...py:897 IOStream._read_from_buffer  10241  0.021253  0.226335  0.000022
..reading.py:279 Condition._is_owned  91668  0.146855  0.224149  0.000002
..:376 HTTP1Connection.write_headers  1024   0.030171  0.219901  0.000215
..ream.py:1138 IOStream.read_from_fd  9244   0.030151  0.218599  0.000024
..tream.py:813 IOStream._finish_read  10241  0.040520  0.205082  0.000020
..cio/queues.py:138 Queue.put_nowait  10240  0.046530  0.199739  0.000020
..on.py:139 Connection._check_closed  242..  0.190444  0.190444  0.000001
..10/asyncio/queues.py:150 Queue.get  10240  0.061397  0.188182  0.000018
..se.py:410 Future.add_done_callback  20480  0.080322  0.188062  0.000009
..tion.py:38 ForkingPickler.__init__  20480  0.127489  0.178310  0.000009
../asyncio/tasks.py:524 as_completed  11264  0.035400  0.174074  0.000015
..futures/_base.py:430 Future.result  20480  0.073373  0.172107  0.000008
..syncio/tasks.py:618 _ensure_future  21521  0.055525  0.165110  0.000008
..t/futures/_base.py:395 Future.done  20480  0.064478  0.160471  0.000008
..uture.set_running_or_notify_cancel  20480  0.064665  0.158887  0.000008
..tures/_base.py:330 Future.__init__  20480  0.053574  0.153189  0.000007
.. _HandlerDelegate.headers_received  1025   0.003779  0.149011  0.000145
..b.py:2298 _HandlerDelegate.execute  1025   0.013242  0.144580  0.000141
..ures/_base.py:385 Future.cancelled  20480  0.054156  0.139000  0.000007
..156 AsyncIOMainLoop.update_handler  2018   0.012901  0.138701  0.000069
..ures/_base.py:465 Future.exception  20480  0.054900  0.138088  0.000007
..IOStream._maybe_add_error_listener  15393  0.034088  0.135580  0.000009
..on3.10/asyncio/tasks.py:684 gather  1024   0.033972  0.134363  0.000131
..579 HTTP1Connection._parse_headers  1025   0.008551  0.130341  0.000127
..syncio/tasks.py:720 _done_callback  10240  0.071493  0.125772  0.000012
..187 AsyncIOMainLoop._handle_events  1029   0.002503  0.122677  0.000119
..io/queues.py:59 Queue._wakeup_next  20480  0.032270  0.122184  0.000006
..asyncio/tasks.py:610 ensure_future  11281  0.017436  0.120766  0.000011
..eading.py:389 Condition.notify_all  20480  0.052607  0.117365  0.000006
..sing/queues.py:131 _SafeQueue.full  50488  0.082115  0.117322  0.000002
..eam.py:682 IOStream._handle_events  1021   0.011979  0.116823  0.000114
..ages/tornado/httputil.py:184 parse  1025   0.017996  0.116126  0.000113
..xSelectorEventLoop._process_events  31265  0.049581  0.114291  0.000004
..es/tornado/gen.py:572 with_timeout  1040   0.012021  0.110425  0.000106
..py:550 IOStream.set_close_callback  4128   0.007237  0.109879  0.000027
..ss.py:99 ForkProcess._check_closed  170..  0.109809  0.109809  0.000001
..future_set_result_unless_cancelled  15363  0.037836  0.106103  0.000007
..hreading.py:236 Condition.__init__  20494  0.073874  0.099685  0.000005
...10/asyncio/tasks.py:549 <setcomp>  1024   0.011747  0.096063  0.000094
..ado/iostream.py:511 IOStream.write  1024   0.012417  0.093726  0.000092
../iostream.py:994 IOStream._consume  10241  0.040427  0.093291  0.000009
..eam.py:1034 IOStream._add_io_state  1037   0.005402  0.093113  0.000090
..0/asyncio/futures.py:297 _get_loop  40960  0.060398  0.084906  0.000002
..7 _UnixSelectorEventLoop.get_debug  127..  0.083396  0.083396  0.000001
..n3.10/abc.py:117 __instancecheck__  15379  0.022106  0.081071  0.000005
..thon3.10/queue.py:209 Queue._qsize  38181  0.055973  0.080833  0.000002
..nixSelectorEventLoop.create_future  27674  0.061894  0.080577  0.000003
..y:203 DataReceiverHandler.__init__  1025   0.012801  0.075750  0.000074
..py:696 _UnixSelectorEventLoop.time  32400  0.052525  0.075586  0.000002
..util.py:162 HTTPHeaders.parse_line  6147   0.024034  0.075319  0.000012
..nt.py:247 future_add_done_callback  4128   0.010668  0.075262  0.000018
.. _UnixSelectorEventLoop.add_reader  1026   0.004296  0.073492  0.000072
...py:346 HTTPServerRequest.__init__  1025   0.016618  0.072230  0.000070
..ython3.10/functools.py:884 wrapper  2081   0.006602  0.069251  0.000033
..nixSelectorEventLoop._check_closed  100..  0.068826  0.068826  0.000001
..ream.py:956 IOStream._handle_write  1024   0.010961  0.068187  0.000067
..cio/queues.py:176 Queue.get_nowait  10240  0.033512  0.067395  0.000007
..rs.py:64 _SelectorMapping.__init__  80494  0.065226  0.065226  0.000001
..nixSelectorEventLoop._add_callback  11111  0.041949  0.064710  0.000006
...py:143 Connection._check_readable  91446  0.063932  0.063932  0.000001
.._UnixSelectorEventLoop._add_reader  1026   0.008037  0.062234  0.000061
..tion.py:503 HTTP1Connection.finish  1024   0.004095  0.059658  0.000058
..o/http1connection.py:451 <genexpr>  6144   0.012620  0.059624  0.000010
..b.py:319 DataReceiverHandler.clear  1025   0.007988  0.058303  0.000057
..b.py:816 DataReceiverHandler.write  1024   0.008737  0.055506  0.000054
..tornado/gen.py:841 convert_yielded  2081   0.009595  0.055400  0.000027
..eam.py:907 IOStream._find_read_pos  19515  0.034341  0.051775  0.000003
..tors.py:200 PollSelector.__enter__  80494  0.051188  0.051188  0.000001
..ssing/connection.py:938 <listcomp>  50486  0.050909  0.050909  0.000001
..s.py:276 PollSelector._key_from_fd  51596  0.050513  0.050513  0.000001
..m.py:330 IOStream.read_until_regex  1040   0.005587  0.049404  0.000048
..python3.10/queue.py:217 Queue._get  20480  0.031285  0.044899  0.000002
..python3.10/queue.py:213 Queue._put  20480  0.031641  0.044694  0.000002
../futures.py:385 _call_check_cancel  20480  0.031790  0.044161  0.000002
..tream.py:776 IOStream._handle_read  1021   0.001865  0.044075  0.000043
..nixSelectorEventLoop.remove_reader  1024   0.002840  0.043829  0.000043
..py:546 AsyncIOMainLoop.add_timeout  1040   0.003696  0.043389  0.000042
